codigo,nombre,categoria,marca_compatible,modelo_compatible,tamano,peso_kg,caracteristicas,precio,stock
FLT-AC-001,Filtro de aceite,Filtros,Cummins,"6CTAA8.3-G2, KTA38",Estandar,1.2,"Filtracion de alta eficiencia, rosca 3/4-16 UNF",85,en_stock
FLT-AR-002,Filtro de aire,Filtros,Caterpillar,"3406, 3412, 3512B",Grande,2.8,"Elemento primario, alta capacidad de retencion de polvo",210,en_stock
FLT-CB-003,Filtro de combustible,Filtros,Perkins,"1300 Series, 2000 Series",Estandar,0.6,"Separador de agua incluido",65,en_stock
BAT-12V-004,Bateria de arranque 12V,Baterias,Universal,"Aplica a la mayoria de motores hasta 500 kVA",Grupo 31,28,"Libre de mantenimiento, 950 CCA",480,bajo_pedido
BAT-24V-005,Bateria de arranque 24V,Baterias,Volvo Penta,"TAD1242, TAD1341",Grupo 8D,55,"Alta capacidad de arranque en frio",890,bajo_pedido
AVR-STF-006,Tarjeta reguladora de voltaje (AVR),Electrico,Stamford,"Serie UC, MSC",Compacto,0.4,"Compatible con alternadores Stamford de 4 y 6 polos",620,en_stock
CTRL-DSE-007,Controlador de transferencia automatica,Control y automatizacion,Deep Sea Electronics,DSE7420,Panel 96x96mm,0.5,"Monitoreo de voltaje, frecuencia y caida de fase",1450,bajo_pedido
CTRL-CMP-008,Controlador AMF para grupo electrogeno,Control y automatizacion,ComAp,InteliLite AMF 25,Panel 144x144mm,0.6,"Arranque automatico ante falla de red, interfaz grafica",1680,en_stock
TURBO-CAT-009,Turbocompresor,Motor,Caterpillar,"3512B, 3516B",Pesado,32,"Reacondicionado con garantia de 6 meses",4200,bajo_pedido
BOMBA-AG-010,Bomba de agua,Enfriamiento,Cummins,"KTA38, KTA50",Estandar,6.5,"Incluye empaquetaduras y sello mecanico",980,en_stock
CORREA-011,Correa de transmision,Motor,Universal,"Aplica a la mayoria de motores de 100 a 500 kVA",Estandar,0.3,"Resistente a altas temperaturas",45,en_stock
INT-ABB-012,Interruptor termomagnetico,Electrico,ABB,Hasta 3200A,Caja moldeada,18,"Proteccion contra sobrecargas y cortocircuitos",1250,bajo_pedido
